task,method,variant_id,lm_window_length,metric,score,average_distinct_ngrams_per_sentence,sampled_sentences,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
analogy,frequent-ngram,v1,2,accuracy,0.0166953281743,16.2249,10000,True,current,resources/text//intrinsic/175838085.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175838085.txt
analogy,frequent-ngram,v2,2,accuracy,0.0173402120952,16.2249,10000,True,current,resources/text//intrinsic/175838771.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175838771.txt
analogy,frequent-ngram,v3,2,accuracy,0.0166236744053,16.2249,10000,True,current,resources/text//intrinsic/175839457.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175839457.txt
analogy,frequent-ngram,v4,3,accuracy,0.0175551734021,16.2249,10000,True,current,resources/text//intrinsic/175840542.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175840542.txt
analogy,frequent-ngram,v5,3,accuracy,0.0171969045572,16.2249,10000,True,current,resources/text//intrinsic/175841228.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175841228.txt
analogy,frequent-ngram,v6,3,accuracy,0.0164087130983,16.2249,10000,True,current,resources/text//intrinsic/175841914.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175841914.txt
analogy,frequent-ngram,v7,4,accuracy,0.0174835196331,16.2249,10000,True,current,resources/text//intrinsic/175842999.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175842999.txt
analogy,frequent-ngram,v8,4,accuracy,0.0166236744053,16.2249,10000,True,current,resources/text//intrinsic/175843685.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175843685.txt
analogy,frequent-ngram,v9,4,accuracy,0.0161220980224,16.2249,10000,True,current,resources/text//intrinsic/175844371.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175844371.txt
analogy,lm-lemma,v1,2,accuracy,0.0308827744339,21.9066,10000,True,current,resources/text//intrinsic/-1392569637.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392569637.txt
analogy,lm-lemma,v2,2,accuracy,0.0298796216681,21.9066,10000,True,current,resources/text//intrinsic/-1392568951.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392568951.txt
analogy,lm-lemma,v3,2,accuracy,0.0299512754371,21.9066,10000,True,current,resources/text//intrinsic/-1392568265.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392568265.txt
analogy,lm-lemma,v4,3,accuracy,0.030381198051,21.8853,10000,True,current,resources/text//intrinsic/-1392567180.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392567180.txt
analogy,lm-lemma,v5,3,accuracy,0.0317426196618,21.8853,10000,True,current,resources/text//intrinsic/-1392566494.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392566494.txt
analogy,lm-lemma,v6,3,accuracy,0.0310260819719,21.8853,10000,True,current,resources/text//intrinsic/-1392565808.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392565808.txt
analogy,lm-lemma,v7,4,accuracy,0.030739466896,21.8832,10000,True,current,resources/text//intrinsic/-1392564723.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392564723.txt
analogy,lm-lemma,v8,4,accuracy,0.03045285182,21.8832,10000,True,current,resources/text//intrinsic/-1392564037.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392564037.txt
analogy,lm-lemma,v9,4,accuracy,0.0308827744339,21.8832,10000,True,current,resources/text//intrinsic/-1392563351.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392563351.txt
analogy,lm-lemma,v10,3,accuracy,0.0312410432789,21.8853,10000,True,current,resources/text//intrinsic/-2079644288.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-2079644288.txt
analogy,lm-lemma,v11,3,accuracy,0.0317426196618,21.8853,10000,True,current,resources/text//intrinsic/-1747506257.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1747506257.txt
analogy,lm-lemma,v12,3,accuracy,0.0315276583548,21.8853,10000,True,current,resources/text//intrinsic/1689808136.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1689808136.txt
analogy,lm-lemma,v13,3,accuracy,0.0325308111207,21.8853,10000,True,current,resources/text//intrinsic/1363077970.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1363077970.txt
analogy,lm-lemma,v14,3,accuracy,0.0315993121238,21.8853,10000,True,current,resources/text//intrinsic/941152357.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/941152357.txt
analogy,lm-lemma,v15,3,accuracy,0.0317426196618,21.8853,10000,True,current,resources/text//intrinsic/1273290388.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1273290388.txt
analogy,lm-lemma,v16,3,accuracy,0.030667813127,21.8853,10000,True,current,resources/text//intrinsic/415637485.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/415637485.txt
analogy,lm-lemma,v17,3,accuracy,0.0323875035827,21.8853,10000,True,current,resources/text//intrinsic/88907319.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/88907319.txt
analogy,lm-lemma,v18,3,accuracy,0.030524505589,21.8853,10000,True,current,resources/text//intrinsic/2119117743.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/2119117743.txt
analogy,lm-lemma,v19,3,accuracy,0.0320292347377,21.8853,10000,True,current,resources/text//intrinsic/1261464840.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1261464840.txt
analogy,lm-lemma,v20,3,accuracy,0.0308827744339,21.8853,10000,True,current,resources/text//intrinsic/934734674.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/934734674.txt
analogy,lm-lemma,v21,3,accuracy,0.0314560045858,21.8853,10000,True,current,resources/text//intrinsic/-1782897280.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1782897280.txt
analogy,lm-lemma,v22,3,accuracy,0.0311693895099,21.8853,10000,True,current,resources/text//intrinsic/-1450759249.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1450759249.txt
analogy,lm-lemma,v23,3,accuracy,0.0321725422757,21.8853,10000,True,current,resources/text//intrinsic/1986555144.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1986555144.txt
analogy,lm-lemma,v24,3,accuracy,0.0310977357409,21.8853,10000,True,current,resources/text//intrinsic/1659824978.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1659824978.txt
analogy,lm-lemma,v25,3,accuracy,0.0310977357409,21.8853,10000,True,current,resources/text//intrinsic/-1189403264.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1189403264.txt
analogy,lm-lemma,v26,3,accuracy,0.0326024648897,21.8853,10000,True,current,resources/text//intrinsic/-857265233.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-857265233.txt
analogy,lm-lemma,v27,3,accuracy,0.0308111206649,21.8853,10000,True,current,resources/text//intrinsic/-1714918136.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1714918136.txt
analogy,lm-lemma,v28,3,accuracy,0.0317426196618,21.8853,10000,True,current,resources/text//intrinsic/-2041648302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-2041648302.txt
analogy,lm-rank,v1,2,accuracy,0.000143307537976,26.0805722892,3984,True,current,resources/text//intrinsic/249431159.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249431159.txt
analogy,lm-rank,v2,2,accuracy,0.000644883920894,28.671435743,3984,True,current,resources/text//intrinsic/249431845.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249431845.txt
analogy,lm-rank,v3,2,accuracy,0.00186299799369,28.6573795181,3984,True,current,resources/text//intrinsic/249432531.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249432531.txt
analogy,lm-rank,v4,3,accuracy,0.000143307537976,26.0805722892,3984,True,current,resources/text//intrinsic/249433616.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249433616.txt
analogy,lm-rank,v5,3,accuracy,0.000214961306965,28.9789156627,3984,True,current,resources/text//intrinsic/249434302.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249434302.txt
analogy,lm-rank,v6,3,accuracy,0.00150472914875,28.96812249,3984,True,current,resources/text//intrinsic/249434988.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249434988.txt
analogy,lm-rank,v7,4,accuracy,0.000214961306965,26.0805722892,3984,True,current,resources/text//intrinsic/249436073.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249436073.txt
analogy,lm-rank,v8,4,accuracy,0.000859845227859,28.9590863454,3984,True,current,resources/text//intrinsic/249436759.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249436759.txt
analogy,lm-rank,v9,4,accuracy,0.000788191458871,28.4899598394,3984,True,current,resources/text//intrinsic/249437445.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249437445.txt
analogy,lm-rank,v10,3,accuracy,0.000429922613929,26.0805722892,3984,True,current,resources/text//intrinsic/-437643492.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-437643492.txt
analogy,lm-rank,v11,3,accuracy,0.000358268844941,25.9593373494,3984,True,current,resources/text//intrinsic/-105505461.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-105505461.txt
analogy,lm-rank,v12,3,accuracy,0.000501576382918,25.9987449799,3984,True,current,resources/text//intrinsic/-963158364.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-963158364.txt
analogy,lm-rank,v13,3,accuracy,0.000573230151906,25.9829317269,3984,True,current,resources/text//intrinsic/-1289888530.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1289888530.txt
analogy,lm-rank,v14,3,accuracy,0.000214961306965,28.9736445783,3984,True,current,resources/text//intrinsic/-1711814143.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1711814143.txt
analogy,lm-rank,v15,3,accuracy,0.000429922613929,28.953313253,3984,True,current,resources/text//intrinsic/-1379676112.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1379676112.txt
analogy,lm-rank,v16,3,accuracy,0.000429922613929,28.9570783133,3984,True,current,resources/text//intrinsic/2057638281.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/2057638281.txt
analogy,lm-rank,v17,3,accuracy,0.000429922613929,28.9445281124,3984,True,current,resources/text//intrinsic/1730908115.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1730908115.txt
analogy,lm-rank,v18,3,accuracy,0.000358268844941,28.968624498,3984,True,current,resources/text//intrinsic/-533848757.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-533848757.txt
analogy,lm-rank,v19,3,accuracy,0.000358268844941,28.9673694779,3984,True,current,resources/text//intrinsic/-1391501660.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1391501660.txt
analogy,lm-rank,v20,3,accuracy,0.000358268844941,28.9698795181,3984,True,current,resources/text//intrinsic/-1718231826.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1718231826.txt
analogy,lm-rank,v21,3,accuracy,0.000644883920894,28.9568273092,3984,True,current,resources/text//intrinsic/-140896484.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-140896484.txt
analogy,lm-rank,v22,3,accuracy,0.000644883920894,28.9505522088,3984,True,current,resources/text//intrinsic/191241547.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/191241547.txt
analogy,lm-rank,v23,3,accuracy,0.000644883920894,28.952560241,3984,True,current,resources/text//intrinsic/-666411356.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-666411356.txt
analogy,lm-rank,v24,3,accuracy,0.000788191458871,28.953564257,3984,True,current,resources/text//intrinsic/-993141522.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-993141522.txt
analogy,lm-rank,v25,3,accuracy,0.000644883920894,28.9585843373,3984,True,current,resources/text//intrinsic/452597532.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/452597532.txt
analogy,lm-rank,v26,3,accuracy,0.000716537689882,28.9570783133,3984,True,current,resources/text//intrinsic/784735563.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/784735563.txt
analogy,lm-rank,v27,3,accuracy,0.000859845227859,28.9578313253,3984,True,current,resources/text//intrinsic/-72917340.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-72917340.txt
analogy,lm-rank,v28,3,accuracy,0.000859845227859,28.9578313253,3984,True,current,resources/text//intrinsic/-399647506.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-399647506.txt
analogy,lm-skip,v1,2,accuracy,0.000143307537976,22.9137,10000,True,current,resources/text//intrinsic/249470410.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249470410.txt
analogy,lm-skip,v2,2,accuracy,0.0200630553167,33.9489,10000,True,current,resources/text//intrinsic/249471096.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249471096.txt
analogy,lm-skip,v3,2,accuracy,0.0161937517913,35.3885,10000,True,current,resources/text//intrinsic/249471782.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249471782.txt
analogy,lm-skip,v4,3,accuracy,0.000214961306965,22.9137,10000,True,current,resources/text//intrinsic/249472867.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249472867.txt
analogy,lm-skip,v5,3,accuracy,0.0205646316996,33.9489,10000,True,current,resources/text//intrinsic/249473553.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/249473553.txt
