task,method,variant_id,lm_window_length,metric,score,graph_density,density_basis,sampled_sentences,distinct_partitions,total_partitions,total_edges,average_sentence_partitions,average_distinct_ngrams_per_sentence,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
analogy,frequent-ngram,v1,2,accuracy,0.0166953281743,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175838085.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175838085.txt
analogy,frequent-ngram,v2,2,accuracy,0.0173402120952,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175838771.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175838771.txt
analogy,frequent-ngram,v3,2,accuracy,0.0166236744053,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175839457.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175839457.txt
analogy,frequent-ngram,v4,3,accuracy,0.0175551734021,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175840542.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175840542.txt
analogy,frequent-ngram,v5,3,accuracy,0.0171969045572,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175841228.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175841228.txt
analogy,frequent-ngram,v6,3,accuracy,0.0164087130983,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175841914.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175841914.txt
analogy,frequent-ngram,v7,4,accuracy,0.0174835196331,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175842999.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175842999.txt
analogy,frequent-ngram,v8,4,accuracy,0.0166236744053,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175843685.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175843685.txt
analogy,frequent-ngram,v9,4,accuracy,0.0161220980224,0.00967808348811,task partition corpus,10000,26851,172762,3488704,17.2762,16.2249,True,current,resources/text//intrinsic/175844371.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/175844371.txt
analogy,lm-lemma,v1,2,accuracy,0.0308827744339,0.0390416682977,task partition corpus,10000,18418,238703,6621551,23.8703,21.9066,True,current,resources/text//intrinsic/-1392569637.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392569637.txt
analogy,lm-lemma,v2,2,accuracy,0.0298796216681,0.0390416682977,task partition corpus,10000,18418,238703,6621551,23.8703,21.9066,True,current,resources/text//intrinsic/-1392568951.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1392568951.txt
