task,method,variants,accuracy_n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_n,precision_mean,precision_std,precision_min,precision_max,recall_n,recall_mean,recall_std,recall_min,recall_max,f_score_n,f_score_mean,f_score_std,f_score_min,f_score_max
analogy,frequent-ngram,9,9,0.0168943664215,0.000511431477629,0.0161220980224,0.0175551734021,0,,,,,0,,,,,9,659951.181418,20025.2970033,634982.837867,704919.473881
analogy,lm-lemma,28,28,0.0312487204684,0.000725593572315,0.0298796216681,0.0326024648897,0,,,,,0,,,,,28,2313392.67981,90199.314963,2110385.36503,2471334.70842
analogy,lm-rank,28,28,0.000593702657331,0.000381584330141,0.000143307537976,0.00186299799369,0,,,,,0,,,,,28,80300.7905429,236247.116114,0.0321462266976,789031.307709
analogy,lm-skip,9,9,0.012181140728,0.00923055188039,0.000143307537976,0.0207795930066,0,,,,,0,,,,,9,1752004.01857,750478.052436,1066206.54058,2761686.21082
analogy,lm-subword,12,12,0.0253176650425,0.0154014039542,0.000214961306965,0.0377615362568,0,,,,,0,,,,,12,1273197.89084,960910.789714,-3536.46434977,2808155.06663
analogy,lm-syllable,9,9,0.000963345116398,0.000866619019611,0,0.00207795930066,0,,,,,0,,,,,9,0.19446750789,0.183244560764,0.0692461504867,0.439017495738
morphology,frequent-ngram,9,9,0.27106,0,0.27106,0.27106,0,,,,,0,,,,,9,0.345762,0,0.345762,0.345762
morphology,lm-lemma,28,28,0.428374,0,0.428374,0.428374,0,,,,,0,,,,,28,0.475877,0,0.475877,0.475877
morphology,lm-rank,28,28,0.47332625,0.0300335850534,0.370467,0.509582,0,,,,,0,,,,,28,0.429881178571,0.0410261877776,0.324811,0.493722
morphology,lm-skip,9,9,0.329702666667,0.110325512539,0.229422,0.473046,0,,,,,0,,,,,9,0.323133666667,0.164021550751,0.182867,0.538576
morphology,lm-subword,12,12,0.236488166667,0.0294351757715,0.205984,0.28402,0,,,,,0,,,,,12,0.252133333333,0.0649048370901,0.191012,0.357329
morphology,lm-syllable,9,9,0.248985,0.0288895044523,0.219358,0.285537,0,,,,,0,,,,,9,0.263187222222,0.0713021746947,0.211134,0.35815
ner,frequent-ngram,9,9,0.921961710893,0.000579330332625,0.920828789531,0.92250090876,0,,,,,0,,,,,9,0.921961710893,0.000579330332625,0.920828789531,0.92250090876
ner,lm-lemma,28,28,0.952340707275,0.000613353732407,0.951090512541,0.953489640131,14,0.790327458525,0.0141603780134,0.758537416141,0.815381163802,14,0.571587417327,0.00878242920383,0.555258368248,0.592503288474,28,0.799458381219,0.155695158547,0.631716221837,0.953489640131
ner,lm-rank,28,28,0.935751934362,0.000976987425404,0.933787713559,0.937422755362,28,0.709263162551,0.0205088066403,0.676598618904,0.758406172129,28,0.417534153272,0.013517707076,0.394372130209,0.441961265827,28,0.49819747465,0.0140684062624,0.476779146141,0.526664107914
ner,lm-skip,9,9,0.945569287936,0.00504720332935,0.939985459833,0.952798982188,9,0.767193754131,0.0379598380081,0.699098765948,0.80938893559,9,0.512672589918,0.0574600227738,0.452194094017,0.590894319442,9,0.590994962372,0.0580556196203,0.524024298217,0.66986246136
ner,lm-subword,12,12,0.940854840664,0.00188265742946,0.936913849509,0.942729916394,12,0.745208412473,0.0361110898484,0.708602745582,0.817437406142,12,0.471599371786,0.0216403614798,0.433743163547,0.49601612765,12,0.554834051547,0.0196287623629,0.520242466144,0.591842782176
ner,lm-syllable,9,9,0.943285270003,0.00551783833621,0.938313340603,0.950781533988,7,0.762128429302,0.0139065139918,0.74336635683,0.782068611959,7,0.504429482516,0.0791785728506,0.43949517587,0.624056306768,9,0.664564782855,0.168967945736,0.531074996221,0.950109051254
pos,frequent-ngram,9,9,0.81522381277,0.00234656141143,0.811758691207,0.819018404908,9,0.57015750248,0.0119499348656,0.557069143707,0.586154439455,9,0.464046138918,0.00603806015303,0.455724903337,0.471984248187,9,0.471156548747,0.00768693759732,0.46045343375,0.481695088984
pos,lm-lemma,28,28,0.871959903593,0.00171550878764,0.868558282209,0.874795501022,28,0.662710882313,0.0262372753123,0.638157666199,0.722015799537,28,0.616593829201,0.0064928508143,0.603293193748,0.63366660555,28,0.625654296327,0.00714837101672,0.614235593855,0.645612056817
pos,lm-rank,28,28,0.856222611744,0.00538761733951,0.846165644172,0.869836400818,28,0.632483582079,0.0125008079425,0.604894481479,0.653373755152,28,0.559782234621,0.0200835864235,0.522156536969,0.617555506116,28,0.578524526037,0.0191883351945,0.537113461547,0.625917297739
pos,lm-skip,9,9,0.85883890025,0.0187657837313,0.841513292434,0.88445807771,0,,,,,0,,,,,9,0.85883890025,0.0187657837313,0.841513292434,0.88445807771
pos,lm-subword,12,12,0.858273687798,0.00330139583492,0.853936605317,0.865695296524,12,0.641160761315,0.0166743574596,0.623348961672,0.673896903723,12,0.583636923907,0.0295590075713,0.552390653572,0.636342079734,12,0.59505717306,0.027318115895,0.561974289568,0.642949544215
pos,lm-syllable,9,9,0.841626902977,0.0054847092894,0.833537832311,0.848721881391,9,0.63683372297,0.0158352784959,0.615921531264,0.658933273547,9,0.574824446723,0.0347712918648,0.54439170843,0.625997692221,9,0.592850248691,0.0287093444979,0.566345761661,0.633459738006
sentiment,frequent-ngram,9,9,0.728533333333,0.0126540507348,0.7101,0.7474,9,0.647645740233,0.00436611571477,0.642813972075,0.655772618025,9,0.587026155615,0.00821131188702,0.57861616875,0.602377497847,9,0.565936570799,0.0119603999062,0.551513386684,0.585580306176
sentiment,lm-lemma,28,28,0.809189285714,0.0100280473076,0.7807,0.8244,28,0.702367252392,0.0136985123401,0.678690849378,0.726265689882,28,0.640707480996,0.0064610418117,0.624905562619,0.654306751213,28,0.627032002987,0.00910633473456,0.606431380369,0.646935347752
sentiment,lm-rank,28,28,0.794407142857,0.0146459937278,0.7505,0.8157,28,0.695187331465,0.0170403451645,0.656715881729,0.724122572278,28,0.625731814717,0.0088753499526,0.592380380789,0.63886100152,28,0.610340660114,0.0103292692224,0.577308929268,0.626831153398
sentiment,lm-skip,9,9,0.805188888889,0.0201027015874,0.7732,0.8324,9,0.698109472127,0.0234836324928,0.670331495149,0.739965976241,9,0.640468254602,0.0200998914109,0.618443339334,0.677464573572,9,0.631788850794,0.0261566832819,0.600008156197,0.678592423233
sentiment,lm-subword,12,12,0.804791666667,0.0184888889648,0.7828,0.8396,12,0.707984921191,0.0321187420259,0.671324140408,0.77993392522,12,0.637162931593,0.0180686705321,0.621013877271,0.671753637674,12,0.624878231541,0.023482246867,0.599383333833,0.66966549801
sentiment,lm-syllable,9,9,0.807711111111,0.0193070870695,0.781,0.8361,9,0.707240167542,0.0241431907079,0.679029113625,0.752259679301,9,0.638184405132,0.0152590235497,0.619773508062,0.663403865664,9,0.629367033675,0.0207551679621,0.604264684799,0.661312291717
